,model,pooling,mv_window_size,mv_window_shift_frac,per_cls_precision_0,per_cls_precision_1,per_cls_precision_2,per_cls_precision_3,per_cls_recall_0,per_cls_recall_1,per_cls_recall_2,per_cls_recall_3,macro_precision,macro_recall,macro_f1,overall_accuracy
29,BERT,max,256,1.0,0.9977235645866693,0.9174573055021766,0.794242167647805,0.7638190954390041,0.9972152427096855,0.9520599818229687,0.7079245282965441,0.4999999999835526,0.8683105332939137,0.7892999382031878,0.8269221966442561,0.9949698648635231
30,BERT,max,512,0.25,0.9978502365557762,0.9383433981950806,0.9353647275998582,0.8595505617494634,0.9981748688442541,0.9531960012110321,0.7645283018810225,0.503289473667655,0.9327772310250446,0.804797161400991,0.864074041031331,0.9960819357977619
31,BERT,max,512,0.5,0.9978562194183768,0.9358774083158997,0.9338235294031818,0.8539325842216892,0.998109393287098,0.9528173280816776,0.7667924528244017,0.4999999999835526,0.9303724353397869,0.8044297935441825,0.8628295367673207,0.996012431364372
32,BERT,max,512,1.0,0.9975552423174052,0.92934417667617,0.8463519313232074,0.7704081632259996,0.9976960788325504,0.9433504998478163,0.7441509433906103,0.4967105262994503,0.8859148783856955,0.7954770120926069,0.8382637268874276,0.9953015003028407
33,BERT,max,1024,0.25,0.9973978614631869,0.9434951013891216,0.9450867051932074,0.8639455781725207,0.9983794799603668,0.9408512571940768,0.7403773584849783,0.4177631578809946,0.9374813115545091,0.774342813380104,0.8481384290193067,0.9958416490423282
34,BERT,max,1024,0.5,0.9973281818553293,0.9396401184413182,0.9300766283435817,0.811764705834602,0.9982423905125714,0.937291729778145,0.7328301886737145,0.45394736840612016,0.9197024086187079,0.7805779193426378,0.8444482671543123,0.9956172490145264
35,BERT,max,1024,1.0,0.9969031514266763,0.9306318681311578,0.8720821661916707,0.7540983606145301,0.9978720443924073,0.9235837624955138,0.7049056603720385,0.45394736840612016,0.8884288865910088,0.77007720891652,0.8250302305609568,0.9948248984738812
36,BERT,sum,128,0.25,0.9980434573500103,0.925764509333242,0.9475277497381682,0.821052631535734,0.9978086149464124,0.9652378067245037,0.7086792452776705,0.5131578947199619,0.9230970869892885,0.7962208904171371,0.8549776014997675,0.9959012242709482
37,BERT,sum,128,0.5,0.9979306957037681,0.9192240880132315,0.9342770475133035,0.7999999999578947,0.9975999116079775,0.9618297485603136,0.6973584905607747,0.4999999999835526,0.9128579577970495,0.7891970376781546,0.8465352691856428,0.9955715746725845
38,BERT,sum,128,1.0,0.9977520906376522,0.8933456168939881,0.7430894308882676,0.7255813953150893,0.9962760776867282,0.9547106937284499,0.6898113207495109,0.5131578947199619,0.8399421334337492,0.7884889967211627,0.8134026840484111,0.994088151479948
39,BERT,sum,256,0.25,0.9980480458975,0.9341119435867973,0.9536945812713922,0.825641025598685,0.9980664249527144,0.9631172372001188,0.7305660377303355,0.5296052631404735,0.9278738990885935,0.8053387407559105,0.862274802274637,0.9961633552768758
40,BERT,sum,256,0.5,0.9979274293371866,0.9307076199566972,0.95099999999049,0.8272251308467421,0.9979948110620749,0.9592547712807034,0.7177358490511869,0.5197368420881665,0.926715045032779,0.7986805683705329,0.8579473470836476,0.9959528561357521
41,BERT,sum,256,1.0,0.9977235645866693,0.9174573055021766,0.794242167647805,0.7638190954390041,0.9972152427096855,0.9520599818229687,0.7079245282965441,0.4999999999835526,0.8683105332939137,0.7892999382031878,0.8269221966442561,0.9949698648635231
42,BERT,sum,512,0.25,0.9979012911354915,0.9380998437609269,0.9474671669704742,0.8494623655457278,0.9981871455112209,0.9549378976060625,0.7622641509376433,0.5197368420881665,0.9332326668531552,0.8087815090357733,0.8665616281348688,0.9961434968673359
43,BERT,sum,512,0.5,0.9978155041930661,0.936880542513647,0.9443920829317212,0.8432432431976625,0.9981584999549651,0.9521357164488395,0.7562264150886323,0.5131578947199619,0.9305828432090243,0.8049196315530996,0.8632017595619994,0.9960223605691421
44,BERT,sum,512,1.0,0.9975552423174052,0.92934417667617,0.8463519313232074,0.7704081632259996,0.9976960788325504,0.9433504998478163,0.7441509433906103,0.4967105262994503,0.8859148783856955,0.7954770120926069,0.8382637268874276,0.9953015003028407
45,BERT,sum,1024,0.25,0.9973876249463216,0.9422070534691375,0.9601593625402375,0.843373493925098,0.9983631110710778,0.9408512571940768,0.7275471698058299,0.4605263157743248,0.9357818837201985,0.7818219634613273,0.8519017078853055,0.9958178189508802
46,BERT,sum,1024,0.5,0.9972671396538445,0.940103374885269,0.9423459244439131,0.8197674418128041,0.998285358846955,0.9366858527711779,0.7154716981078079,0.4638157894584271,0.9248709701989577,0.7785646747960919,0.8454347706410902,0.9956033481278485
47,BERT,sum,1024,1.0,0.9969031514266763,0.9306318681311578,0.8720821661916707,0.7540983606145301,0.9978720443924073,0.9235837624955138,0.7049056603720385,0.45394736840612016,0.8884288865910088,0.77007720891652,0.8250302305609568,0.9948248984738812
48,BERT,asymmetric-max,128,0.25,0.9992257703173312,0.8491850494201418,0.5154013015162022,0.6784660766761514,0.9929122709378352,0.9825053014230668,0.8966037735781389,0.7565789473435336,0.7605695494824566,0.9071500733206437,0.8274181211368142,0.9922433052336839
49,BERT,asymmetric-max,128,0.5,0.9989177844768607,0.8850456385966062,0.6538901601793257,0.7234042552934963,0.9953041748851927,0.9766737352310082,0.8626415094274519,0.6710526315568732,0.8153144596365722,0.8764180127751315,0.8447627339789043,0.9942708488477158
50,BERT,asymmetric-max,128,1.0,0.9981250461054032,0.9077983627740142,0.7457020057253174,0.7445887445565113,0.9966546082515366,0.957437140259802,0.7856603773525611,0.5657894736655991,0.8490535397903115,0.8263853998823747,0.8375661185843098,0.9948109975872033
51,BERT,asymmetric-max,256,0.25,0.9991290987815393,0.8918527708844142,0.6373390557905723,0.645161290303661,0.9952857598847427,0.9799303241434565,0.8966037735781389,0.7236842105025104,0.7933705539400466,0.8988760170272122,0.8428343381786391,0.9944595037383456
52,BERT,asymmetric-max,256,0.5,0.9988371520684952,0.9094251573210002,0.7469095640810222,0.7093425605290885,0.99651547269258,0.9740987579513979,0.8664150943330837,0.6743421052409756,0.8411286084999015,0.8778428575545093,0.8590936516889935,0.9953908631457706
53,BERT,asymmetric-max,256,1.0,0.9980854287820256,0.9230600453441651,0.8101460415003064,0.7316017315700605,0.9973257327123863,0.9558467131165133,0.7954716981072041,0.555921052613292,0.8657233117991394,0.8261412991373489,0.8454692800507209,0.9954405091696206
54,BERT,asymmetric-max,512,0.25,0.9991480801009781,0.903792331373563,0.6965517241339279,0.5904522612916971,0.9958832243437917,0.9782641623742969,0.914716981125172,0.7730263157640451,0.7974860992250415,0.9154726709018264,0.852415992415831,0.995073128593131
55,BERT,asymmetric-max,512,0.5,0.9988354379511704,0.9163451921696554,0.7798408488011948,0.6614906832092705,0.9968019282551378,0.9714480460459167,0.8875471698046223,0.7006578947137941,0.8391280405328227,0.8891137597048678,0.863398029803834,0.9956708667202844
56,BERT,asymmetric-max,512,1.0,0.9980409095747526,0.9283498301071588,0.841900311519923,0.7131474103301535,0.9975508049401104,0.951832777945356,0.8158490565976163,0.5888157894543152,0.870359615382997,0.8385121072343494,0.8541390921467062,0.9956271782192965
